Total Items,Buckets,Removed,Escalated,Time Elapsed,Time to Send,Time to Receive
1000000,5,0,0,0.480352,0.124661,0.355690
1000000,10,0,0,0.456221,0.123449,0.332772
1000000,15,0,0,0.450382,0.123358,0.327024
1000000,20,0,0,0.401607,0.121166,0.280440
1000000,25,0,0,0.391769,0.120379,0.271390
1000000,30,0,0,0.378708,0.127517,0.251192
1000000,35,0,0,0.414640,0.124497,0.290143
1000000,40,0,0,0.361109,0.122513,0.238597
1000000,45,0,0,0.370787,0.130278,0.240508
1000000,50,0,0,0.386700,0.120075,0.266625
1000000,55,0,0,0.377624,0.123339,0.254285
1000000,60,0,0,0.363803,0.124509,0.239294
1000000,65,0,0,0.373651,0.130343,0.243308
1000000,70,0,0,0.358304,0.129457,0.228846
1000000,75,0,0,0.356953,0.129481,0.227471
1000000,80,0,0,0.372278,0.136249,0.236029
1000000,85,0,0,0.354502,0.131480,0.223022
1000000,90,0,0,0.355176,0.128582,0.226594
1000000,95,0,0,0.368184,0.134018,0.234166
1000000,100,0,0,0.367679,0.127886,0.239793
2000000,5,0,0,1.080151,0.270605,0.809546
2000000,10,0,0,0.992683,0.242134,0.750549
2000000,15,0,0,0.954768,0.247791,0.706977
2000000,20,0,0,0.977516,0.244314,0.733203
2000000,25,0,0,0.913640,0.241858,0.671782
2000000,30,0,0,0.895809,0.249782,0.646027
2000000,35,0,0,0.811538,0.245463,0.566074
2000000,40,0,0,0.820050,0.250800,0.569249
2000000,45,0,0,0.771446,0.248302,0.523144
2000000,50,0,0,0.815834,0.242626,0.573208
2000000,55,0,0,0.775734,0.252302,0.523432
2000000,60,0,0,0.759699,0.251128,0.508572
2000000,65,0,0,0.789265,0.260698,0.528567
2000000,70,0,0,0.755390,0.262109,0.493281
2000000,75,0,0,0.759171,0.256032,0.503139
2000000,80,0,0,0.798577,0.261225,0.537352
2000000,85,0,0,0.741509,0.261255,0.480254
2000000,90,0,0,0.734015,0.263220,0.470795
2000000,95,0,0,0.734381,0.259012,0.475370
2000000,100,0,0,0.785392,0.252216,0.533176
3000000,5,0,0,1.554099,0.356306,1.197792
3000000,10,0,0,1.542341,0.358731,1.183610
3000000,15,0,0,1.526235,0.363726,1.162509
3000000,20,0,0,1.493434,0.362188,1.131246
3000000,25,0,0,1.501360,0.363820,1.137541
3000000,30,0,0,1.438228,0.374326,1.063902
3000000,35,0,0,1.359310,0.373921,0.985390
3000000,40,0,0,1.279624,0.371083,0.908540
3000000,45,0,0,1.280505,0.375016,0.905489
3000000,50,0,0,1.308245,0.366860,0.941384
3000000,55,0,0,1.222253,0.384495,0.837757
3000000,60,0,0,1.265391,0.379666,0.885725
3000000,65,0,0,1.258930,0.391462,0.867469
3000000,70,0,0,1.239573,0.389759,0.849813
3000000,75,0,0,1.211239,0.381575,0.829664
3000000,80,0,0,1.215992,0.395794,0.820198
3000000,85,0,0,1.164770,0.384545,0.780225
3000000,90,0,0,1.182612,0.390766,0.791847
3000000,95,0,0,1.175426,0.404903,0.770524
3000000,100,0,0,1.228954,0.381821,0.847133
4000000,5,0,0,2.132397,0.480412,1.651985
4000000,10,0,0,2.128339,0.476332,1.652007
