Total Items,Buckets,Removed,Escalated,Time Elapsed,Time to Send,Time to Receive
1000000,5,0,0,0.614072,0.252223,0.361849
1000000,10,0,0,0.487301,0.166346,0.320954
1000000,15,0,0,0.465424,0.161509,0.303915
1000000,20,0,0,0.429060,0.160433,0.268626
1000000,25,0,0,0.422653,0.151694,0.270959
1000000,30,0,0,0.412588,0.153395,0.259193
1000000,35,0,0,0.411344,0.146609,0.264735
1000000,40,0,0,0.372737,0.144614,0.228123
1000000,45,0,0,0.381298,0.149845,0.231453
1000000,50,0,0,0.421840,0.157114,0.264726
1000000,55,0,0,0.367223,0.134796,0.232427
1000000,60,0,0,0.373999,0.136299,0.237700
1000000,65,0,0,0.390020,0.145616,0.244404
1000000,70,0,0,0.364162,0.136035,0.228127
1000000,75,0,0,0.368686,0.143142,0.225544
1000000,80,0,0,0.377908,0.146060,0.231848
1000000,85,0,0,0.383652,0.148589,0.235063
1000000,90,0,0,0.376831,0.145537,0.231294
1000000,95,0,0,0.379045,0.150784,0.228262
1000000,100,0,0,0.381100,0.154579,0.226521
2000000,5,0,8780,1.172073,0.389456,0.782617
2000000,10,0,0,1.010092,0.260968,0.749124
2000000,15,0,0,0.968993,0.257443,0.711549
2000000,20,0,0,0.954110,0.265092,0.689018
2000000,25,0,0,0.971114,0.265140,0.705974
2000000,30,0,0,0.895227,0.261474,0.633753
2000000,35,0,0,0.851089,0.282734,0.568355
2000000,40,0,0,0.833119,0.276862,0.556257
2000000,45,0,0,0.789324,0.271361,0.517963
2000000,50,0,0,0.863200,0.296498,0.566703
2000000,55,0,0,0.808548,0.285560,0.522989
2000000,60,0,0,0.823831,0.283021,0.540809
2000000,65,0,0,0.825488,0.302481,0.523006
2000000,70,0,0,0.840942,0.318196,0.522745
2000000,75,0,0,0.816378,0.308826,0.507552
2000000,80,0,0,0.799257,0.281457,0.517800
2000000,85,0,0,0.755920,0.262167,0.493753
2000000,90,0,0,0.742541,0.272914,0.469628
2000000,95,0,0,0.753119,0.275580,0.477539
2000000,100,0,0,0.809352,0.269598,0.539754
3000000,5,0,525147,1.897074,0.512351,1.384723
3000000,10,0,432326,1.782897,0.448884,1.334013
3000000,15,0,585831,1.836801,0.471124,1.365677
3000000,20,0,700310,1.894317,0.472125,1.422191
3000000,25,0,761735,1.947429,0.510474,1.436955
3000000,30,0,523822,1.749668,0.441676,1.307992
3000000,35,0,292013,1.520458,0.380246,1.140212
3000000,40,0,194007,1.451599,0.384171,1.067428
3000000,45,0,90511,1.322008,0.398315,0.923692
3000000,50,0,97903,1.333236,0.365696,0.967540
3000000,55,0,134423,1.356082,0.396705,0.959377
3000000,60,0,174357,1.398783,0.408589,0.990194
3000000,65,0,165502,1.356271,0.391172,0.965099
3000000,70,0,207399,1.387111,0.403218,0.983893
3000000,75,0,158505,1.338503,0.402033,0.936470
3000000,80,0,117314,1.275055,0.391559,0.883496
3000000,85,0,80291,1.230854,0.405083,0.825771
3000000,90,0,67175,1.220653,0.414606,0.806047
3000000,95,0,60570,1.241768,0.417398,0.824370
3000000,100,0,59876,1.285382,0.397571,0.887811
4000000,5,0,2052180,2.730309,0.622339,2.107969
4000000,10,0,1386031,2.485446,0.505215,1.980231
4000000,15,0,1665887,2.540234,0.500777,2.039457
4000000,20,0,1862791,2.602652,0.510908,2.091744
4000000,25,0,1963693,2.630047,0.509664,2.120383
4000000,30,0,1584274,2.424148,0.509078,1.915070
4000000,35,0,1094349,2.209760,0.503182,1.706578
4000000,40,0,923556,2.137053,0.522911,1.614142
4000000,45,0,555130,1.956664,0.509600,1.447064
4000000,50,0,550534,1.973188,0.520544,1.452644
